39 qid:1 1:0.8515 2:0.8952 3:1.0000 4:1.0000
46 qid:1 1:0.8283 2:0.7657 3:0.4855 4:0.8722
44 qid:1 1:0.8342 2:0.8099 3:0.6082 4:0.8719
30 qid:1 1:0.7785 2:0.7873 3:0.5589 4:0.8208
18 qid:1 1:0.7782 2:0.7627 3:0.5010 4:0.7727
32 qid:1 1:0.8543 2:0.8407 3:0.6863 4:0.9073
28 qid:1 1:0.7849 2:0.7458 3:0.3543 4:0.8911
15 qid:1 1:0.7847 2:0.7748 3:0.6139 4:0.8876
57 qid:2 1:0.8445 2:0.9300 3:1.0000 4:1.0000
33 qid:2 1:0.8195 2:0.7718 3:0.6830 4:0.9459
27 qid:2 1:0.8359 2:0.7929 3:0.6958 4:0.9309
40 qid:2 1:0.7775 2:0.8149 3:0.9286 4:0.9752
7 qid:2 1:0.7825 2:0.7482 3:0.5023 4:0.7977
44 qid:2 1:0.8383 2:0.8840 3:0.9691 4:0.9714
18 qid:2 1:0.7973 2:0.7761 3:0.7354 4:0.9427
26 qid:2 1:0.8277 2:0.8496 3:0.8639 4:0.9784
42 qid:3 1:0.8593 2:0.9033 3:0.5415 4:0.8315
37 qid:3 1:0.8216 2:0.7185 3:0.3721 4:0.8584
40 qid:3 1:0.8273 2:0.7597 3:0.5776 4:0.7803
31 qid:3 1:0.8142 2:0.7511 3:0.6482 4:0.7816
29 qid:3 1:0.7652 2:0.7145 3:0.5034 4:0.7023
20 qid:3 1:0.5762 2:0.6751 3:0.4501 4:0.6847
39 qid:3 1:0.8203 2:0.7369 3:0.4195 4:0.9116
14 qid:3 1:0.8010 2:0.7480 3:0.6221 4:0.8038
36 qid:4 1:0.9670 2:0.9369 3:1.0000 4:1.0000
30 qid:4 1:0.9654 2:0.8198 3:0.8398 4:0.9841
49 qid:4 1:0.9554 2:0.8435 3:0.9176 4:0.9928
42 qid:4 1:0.9146 2:0.8095 3:1.0000 4:1.0000
